Measured,Predicted
2.3366046369633295,458.634825664074
15.565172280309298,290.46741655496044
65.88285668357184,287.8066987404643
106.41069927280137,291.85488943923724
149.32459634353108,599.8382877832075
188.9518194438324,983.9956923026581
202.62484956559683,435.442706680122
214.01709176710028,295.49953709278066
216.05225579932926,643.0676271138127
281.5634946486266,532.2420697250816
286.37069294332537,816.8058589417657
298.020254998808,367.7821962651617
308.94464278999817,546.0603421330384
315.9390584096668,531.155134455176
357.99912272297,406.32057303235956
362.2332000461165,627.3521268068287
378.7484416598911,647.0166485094086
378.9823681481196,988.320589326064
388.2224823563513,435.32396971808976
397.4509005986356,574.7779218489621
418.10664894026536,277.84188718233554
433.0194916004257,468.3639427848166
482.3195939875736,737.4531100862438
515.1629360245399,799.6247069315201
543.5265782841839,789.0371134978609
581.3993491381301,1096.7759753558544
599.9848441158323,741.09288912502
602.546343821968,669.9620873648616
603.5756232378861,909.6104409617924
613.423946315512,361.5834964575706
619.1668534308375,245.46383760257686
626.8045672515989,925.3308791745097
632.9217567480899,1011.8936805211526
634.0913920569454,550.9415667936734
682.3388230962803,300.9416065757057
706.3748160036299,1337.7767573852732
773.1843500887724,1139.8696921402818
780.4009962307223,1157.4140529629638
795.3489267887247,944.1451001489118
808.6008877978218,1113.785947963303
832.3093836216514,1275.0959959038478
912.3007000524941,1342.2227600033775
919.4588649308508,1232.0859486204924
1000.9239218221741,1584.1185752944539
1092.061856566488,1168.1116841884627
1095.0210320195401,1942.9513669013097
1107.6179974277409,711.4006658517659
1171.281214869248,962.0312651458702
1173.0824524132486,3015.783674271927
1291.3559128447578,1209.2960745697496
1297.2742637508625,1373.900168285837
1297.7655100930706,708.5486050527926
1345.4983028583028,758.4424693363518
1421.6649136788628,1422.444754779228
1476.193283473377,1177.3756512011287
1630.269261394905,1604.7017600796114
1718.7170365060933,793.6645410093719
1744.4606963621522,1705.080211506217
2152.6164202104437,2135.77814864022
2216.7825785262503,1457.7726575522302
2300.9027057190006,3393.687214134496
2438.8026365100777,2009.2879321486098
2572.515275275654,3571.676854380768
2599.4519623724627,2527.956517822752
2675.2676827437517,2265.3413226747302
2771.692367592881,1863.1444062010055
2969.395719449628,1637.0187593079913
2992.8468954194786,1647.8801282973518
3003.116287609772,3736.1636436350645
3205.556660531677,3646.0252229693488
3396.850415140111,3446.4196570120766
3453.086451883335,4361.244155800846
3973.445230530434,3851.4987526718405
3988.346377224647,3822.192901981158
4037.892102065971,3474.7002022150027
4069.4956315645413,3834.7307467912206
4184.64616728431,4149.00764404568
4692.630211045489,4399.2106154110825
5231.63296736774,5006.865979105565
21.565399249614302,225.1867284567952
